photon_energy,axion_mass,flux
5.359459459459459119e+00,0.000000000000000000e+00,4.307202745920166720e+00
5.378378378378378066e+00,0.000000000000000000e+00,4.276650564902617191e+00
5.397297297297297902e+00,0.000000000000000000e+00,4.246185082086896934e+00
5.416216216216216850e+00,0.000000000000000000e+00,4.215808470766740257e+00
5.435135135135134909e+00,0.000000000000000000e+00,4.185522851081296736e+00
5.454054054054053857e+00,0.000000000000000000e+00,4.155330290658614700e+00
5.472972972972972805e+00,0.000000000000000000e+00,4.125232805258076674e+00
5.491891891891891753e+00,0.000000000000000000e+00,4.095232359411617118e+00
5.510810810810810700e+00,0.000000000000000000e+00,4.065330867063526199e+00
5.529729729729729648e+00,0.000000000000000000e+00,4.035530192208701905e+00
5.548648648648648596e+00,0.000000000000000000e+00,4.005832149529151565e+00
5.567567567567567544e+00,0.000000000000000000e+00,3.976238505028577119e+00
5.586486486486486491e+00,0.000000000000000000e+00,3.946750976664934019e+00
5.605405405405405439e+00,0.000000000000000000e+00,3.917371234980759009e+00
5.624324324324324387e+00,0.000000000000000000e+00,3.888100903731158908e+00
5.643243243243243334e+00,0.000000000000000000e+00,3.858941560509296931e+00
5.662162162162162282e+00,0.000000000000000000e+00,3.829894737369280211e+00
5.681081081081081230e+00,0.000000000000000000e+00,3.800961921446249558e+00
5.700000000000000178e+00,0.000000000000000000e+00,3.772144555573628377e+00
5.718918918918919125e+00,0.000000000000000000e+00,3.743444038897364656e+00
5.737837837837838073e+00,0.000000000000000000e+00,3.714861727487042131e+00
5.756756756756756133e+00,0.000000000000000000e+00,3.686398934943805106e+00
5.775675675675675080e+00,0.000000000000000000e+00,3.658056933004894429e+00
5.794594594594594028e+00,0.000000000000000000e+00,3.629836952144830597e+00
5.813513513513512976e+00,0.000000000000000000e+00,3.601740182173009508e+00
5.832432432432431924e+00,0.000000000000000000e+00,3.573767772827697531e+00
5.851351351351350871e+00,0.000000000000000000e+00,3.545920834366333541e+00
5.870270270270269819e+00,0.000000000000000000e+00,3.518200438152010445e+00
5.889189189189188767e+00,0.000000000000000000e+00,3.490607617236103355e+00
5.908108108108107714e+00,0.000000000000000000e+00,3.463143366936939138e+00
5.927027027027026662e+00,0.000000000000000000e+00,3.435808645414446083e+00
5.945945945945945610e+00,0.000000000000000000e+00,3.408604374240705059e+00
5.964864864864864558e+00,0.000000000000000000e+00,3.381531438966334679e+00
5.983783783783783505e+00,0.000000000000000000e+00,3.354590689682676707e+00
6.002702702702702453e+00,0.000000000000000000e+00,3.327782941579669806e+00
6.021621621621621401e+00,0.000000000000000000e+00,3.301108975499415621e+00
6.040540540540540349e+00,0.000000000000000000e+00,3.274569538485320397e+00
6.059459459459459296e+00,0.000000000000000000e+00,3.248165344326829462e+00
6.078378378378377356e+00,0.000000000000000000e+00,3.221897074099651981e+00
6.097297297297296303e+00,0.000000000000000000e+00,3.195765376701464877e+00
6.116216216216215251e+00,0.000000000000000000e+00,3.169770869383041756e+00
6.135135135135134199e+00,0.000000000000000000e+00,3.143914138274763737e+00
6.154054054054053147e+00,0.000000000000000000e+00,3.118195738908513093e+00
6.172972972972972983e+00,0.000000000000000000e+00,3.092616196734847556e+00
6.191891891891891930e+00,0.000000000000000000e+00,3.067176007635505464e+00
6.210810810810810878e+00,0.000000000000000000e+00,3.041875638431140061e+00
6.229729729729729826e+00,0.000000000000000000e+00,3.016715527384330464e+00
6.248648648648648773e+00,0.000000000000000000e+00,2.991696084697775593e+00
6.267567567567567721e+00,0.000000000000000000e+00,2.966817693007694157e+00
6.286486486486486669e+00,0.000000000000000000e+00,2.942080707872420042e+00
6.305405405405405617e+00,0.000000000000000000e+00,2.917485458256130926e+00
6.324324324324324564e+00,0.000000000000000000e+00,2.893032247007739866e+00
6.343243243243243512e+00,0.000000000000000000e+00,2.868721351334925451e+00
6.362162162162162460e+00,0.000000000000000000e+00,2.844553023273275638e+00
6.381081081081081408e+00,0.000000000000000000e+00,2.820527490150552818e+00
6.399999999999999467e+00,0.000000000000000000e+00,2.796644955046087677e+00
6.418918918918918415e+00,0.000000000000000000e+00,2.772905597245237441e+00
6.437837837837837363e+00,0.000000000000000000e+00,2.749309572689007108e+00
